0,1,2,3,4,5,6,7,8
,,,,,,,,
L020,,0/] /_1,0/] /o1,0乃 l4口,0/] /01,0川 /0口,0/] /11,0/] ro1
,,,,,,,,
,,主=,主六乃,主只,主=月|,主=皿,主=月/,主只口
1,,,11日,二日,,八,,
L01 1,,小位|口,心J-10,1_-_0|^),,叭'憶|口,,勿
玉梅,,,,,,,,
亭文,,,10.5-14,,09-13,,,
玉琳,,09-15.5,09-14,09-12.5,,,,
祐紳,,10-15,,10-14,,,,
++昔,,,,,1(,二卡,(,
,,,,,,,,
筱佳,,,,,,,,
政哲,,15.5-20,16.5-20,16.5-20,,16.5-20,,
昊倫,,15.5-20,換,,16.5-20,17-20,09-13,換
語捷,,,17.5-20接,16.5-20,16.5-20,10-13,,09-14
晶昀,,,,,,,,11-14
,,,,,,,,
,,8-20,,,,,,
,,,,,,,,
庭翊,,,16.5-20,15.5-20,17-20,,,
備註,,3+3,3+2超優外送,3+2,2+2,2+3,3,3
